Minisector,SAI,STR,Fastest
0,283.7711319234841,287.07244636168303,STR
1,299.1244049777778,299.2388890122449,STR
2,305.8952380571428,303.2654849797896,SAI
3,309.09623598364595,296.7211010590476,SAI
4,256.3494314249625,251.79044962133332,SAI
5,191.46725354300716,184.95415385899443,SAI
6,255.2955627146123,255.1504223301587,SAI
7,282.59571977868484,276.5694618231643,SAI
8,215.42186084377298,202.08037587956989,SAI
9,206.30871036952382,201.99119581198568,SAI
10,137.18303057394638,140.9890658871359,STR
11,243.39744641074438,246.61348968746185,STR
12,275.39564389961566,271.65960139130436,SAI
13,217.15511983774564,226.04462323174062,STR
14,260.31980119432416,259.94124554285713,SAI
15,233.00545021538463,222.61030500411192,SAI
16,178.6510677943342,178.05490315294116,SAI
17,257.73858652753626,255.5156555409727,SAI
18,151.64731462309933,147.12974762170543,SAI
19,204.4091511393674,208.85704029359925,STR
20,270.0975123406328,273.46231132121216,STR
21,289.35436500317456,287.4524037052956,SAI
22,157.2198352896661,160.35274074385967,STR
23,176.5262807927718,176.63916844743162,STR
24,256.41511910579635,257.9454636764326,STR
25,,276.5750016,STR
