Minisector,RUS,LEC,Fastest
0,272.67529010766486,284.2882060882563,LEC
1,126.14737439396015,112.08921616653497,RUS
2,154.24439088696144,168.8827421707625,LEC
3,213.75161158767506,204.3188788193132,RUS
4,161.76925205918175,168.2776812049788,LEC
5,237.26009508398474,244.03542402663862,LEC
6,216.35754374407958,186.79072478018585,RUS
7,133.58999688338832,139.81776116164465,LEC
8,227.43218473052613,238.45474196919193,LEC
9,267.92465180921886,273.54394375330367,LEC
10,271.89872256962406,273.50925626912715,LEC
11,146.51573581280454,147.3958869908304,LEC
12,215.45655460193623,223.021246542781,LEC
13,262.07068249200046,268.378935498836,LEC
14,249.48224095999998,243.93816659132276,RUS
15,100.00053924350522,100.8993293072117,LEC
16,217.02567462466743,223.5712733765376,LEC
17,264.1532118632869,273.1226790806857,LEC
18,286.71536685950736,294.94977838,LEC
19,297.20960233965593,305.9271339081763,LEC
20,304.1276353502075,311.12421112696546,LEC
21,287.44720502235305,266.94616509644055,RUS
22,149.98030623806898,154.04666243661848,LEC
23,231.85918757239764,238.23143335777036,LEC
24,272.3194382596752,279.52853214877325,LEC
