Minisector,ALO,OCO,Fastest
0,298.76567464126987,298.57635536030654,ALO
1,281.17429769701823,283.04537037037034,OCO
2,176.38876433354972,170.89432220275225,ALO
3,200.3796719298183,200.16764702745098,ALO
4,218.73516846202875,220.38728577121122,OCO
5,264.9682997900763,266.7221666986667,OCO
6,235.1696080995966,229.0881593320179,ALO
7,208.42929263838383,206.34309913333334,ALO
8,182.23384347378547,178.69802648701753,ALO
9,154.94888046999748,159.1562023144186,OCO
10,189.57379153704002,183.07318106666668,ALO
11,189.7917952461601,194.98853002166257,OCO
12,189.76334138076226,240.25223200000002,OCO
13,166.56729869253877,164.2333738645546,ALO
14,247.03088854057498,236.2759767972627,ALO
15,272.25094104863354,269.868,ALO
16,261.6848755510044,266.6627379809524,OCO
17,255.23831990937262,259.3104745743342,OCO
18,249.9977057800935,246.04949319223985,ALO
19,241.9404772190476,248.42480351019765,OCO
20,260.50117490614406,251.548148345679,ALO
21,189.57828812895187,208.60835895771334,OCO
22,224.4733688400325,197.37923033984964,ALO
23,274.2162689269841,268.751542613868,ALO
24,291.6257125524969,288.86593625627705,ALO
25,297.3041674666667,295.8097223111111,ALO
