Minisector,ALO,GAS,Fastest
0,277.2081637285532,293.3296253631862,GAS
1,295.28296885428574,315.81542425767407,GAS
2,293.5272586020834,304.0803644062338,GAS
3,175.11133978737575,176.4275828362056,GAS
4,208.64163574718617,211.5541738722033,GAS
5,191.5595962188633,195.98405565622323,GAS
6,176.65710023622324,171.45710993054308,ALO
7,195.9385116829975,198.46563091559378,GAS
8,246.89804248814815,251.57295169145166,GAS
9,259.41673690652306,253.66537938209623,ALO
10,165.58496973963523,164.59255735203016,ALO
11,232.44317598864333,231.31258343663123,ALO
12,118.39672775431858,115.25095738751217,ALO
13,222.32829019184052,221.4016292630666,ALO
14,272.9808693577143,275.16965975983436,GAS
15,289.82101156799206,285.7009092654546,ALO
16,205.43384241777778,204.78093336304522,ALO
17,178.38842827083616,179.73260135394113,GAS
18,261.7553690446887,265.1303397574051,GAS
19,289.9683712430355,289.63069488954056,ALO
20,302.5011563493333,300.5086825396826,ALO
21,303.2345488845773,302.1026623542857,ALO
22,267.15862734592594,270.0778252443999,GAS
23,111.59893973800456,110.79376672121367,ALO
24,234.86262112183726,233.42524505541095,ALO
25,263.97222400000004,267.2281248,GAS
