Minisector,LEC,HAD,Fastest
0,327.97901085832547,322.7088282828283,LEC
1,338.43083070548755,334.69601850158733,LEC
2,339.5117648470588,335.95399117754386,LEC
3,190.14900208716483,195.12926659337867,HAD
4,131.25603888652114,123.57399804165456,LEC
5,269.9052180841819,265.4012436232748,LEC
6,306.15876696188684,302.6442361111111,LEC
7,322.9624872330742,317.53596154943153,LEC
8,284.80366045777777,263.1995946836711,LEC
9,144.66523108151625,146.37743360025837,HAD
10,227.92561054965987,222.06100976980534,LEC
11,236.97428445634247,229.5785342503473,LEC
12,207.32047366836795,204.33148021034225,LEC
13,274.4865797814796,273.6535745113668,LEC
14,310.6556563693424,310.1215198388439,LEC
15,327.5381862327065,324.3353436734157,LEC
16,285.11952428720497,254.1891830830769,LEC
17,215.18641761877552,224.29881325029433,HAD
18,282.3609682095461,282.88193650771564,HAD
19,313.97749675444413,313.18275066488997,LEC
20,329.1936599264749,324.78921568627453,LEC
21,319.4312837846465,291.32945752232604,LEC
22,213.99228364256302,212.7052052896359,LEC
23,266.81726473309095,270.72768089240526,HAD
24,308.29576429654645,308.460620597595,HAD
