Minisector,PER,HAM,Fastest
0,253.310972329972,250.69756484034633,PER
1,208.9427999011183,218.78029061651756,HAM
2,201.6456452883503,198.16032206768088,PER
3,253.21879265322488,255.93495651091416,HAM
4,275.95134421778823,269.2279541361039,PER
5,291.31131254400003,288.6827915426128,PER
6,158.16409310153972,180.10876322233167,HAM
7,175.20281020521782,170.86179626431903,PER
8,266.8553362320098,262.84300344565656,PER
9,309.19863946285716,292.3879945446236,PER
10,325.9773532797178,304.0417879733333,PER
11,329.0492071830082,305.96548928048526,PER
12,125.12831470255558,120.43917291771719,PER
13,184.47197281970296,183.46995273147462,PER
14,268.5107972057301,267.61448873076836,PER
15,294.41846862933335,294.8172733927477,HAM
16,301.092564785332,303.375781384127,HAM
17,189.16274034697366,190.54368237960182,HAM
18,218.23958301798942,212.68237499041624,PER
19,265.3346422750867,266.8454441615238,HAM
20,149.65814050529536,156.59111537966976,HAM
21,144.8388986710027,141.63764260001224,PER
22,218.7587766846387,220.00140154719006,HAM
23,232.58267143903979,241.8518562339921,HAM
24,157.4602705560134,150.76584670042715,PER
25,220.97222044444445,222.31428571428572,HAM
