Minisector,LEC,ALB,Fastest
0,257.91155795141253,256.0840150634594,LEC
1,211.34444728352406,210.58754478843767,LEC
2,223.57552023208427,216.2769050411021,LEC
3,263.15517630807454,260.6646853981723,LEC
4,278.840550367033,273.9155045877551,LEC
5,231.47932304120383,214.42859746475077,LEC
6,98.32162249759031,94.64959730840387,LEC
7,188.24145866614813,185.35690185688466,LEC
8,270.2433044651504,269.0346202197701,LEC
9,292.0132991863012,291.648322367189,LEC
10,300.2738866564936,299.5232892930016,LEC
11,297.85687490738,293.87100781804503,LEC
12,113.94824672298043,110.91994064173325,LEC
13,216.31276372190834,214.50839210607393,LEC
14,276.89882766128295,277.1146428683038,ALB
15,295.4507936507937,295.4070041050704,LEC
16,226.06669275874174,213.56560630875487,LEC
17,126.42363562616394,124.61152630966336,LEC
18,154.86491223582374,154.5957997231021,LEC
19,254.67126591307834,251.48600632233604,LEC
20,160.6208792271898,156.65706263932847,LEC
21,129.42799888289522,127.96837599985453,LEC
22,208.14306997313764,204.55191586727742,LEC
23,213.2188751563909,203.20098551556381,LEC
24,167.4907451382419,166.34244111273046,LEC
25,232.41666666666666,,LEC
