Minisector,SAI,VER,Fastest
0,298.76151966535946,313.2436649632653,VER
1,231.61889179963242,223.7389670067999,SAI
2,132.47858844578113,128.4230684432807,SAI
3,216.1162971059649,217.54224091728824,VER
4,260.4172662716792,262.8839700682508,VER
5,285.7643292793651,288.28489295988453,VER
6,298.48905187321515,304.40800792666664,VER
7,274.47187038419753,264.5515576206017,SAI
8,169.92221360693236,168.06968509386914,SAI
9,238.89091544177776,238.85391736905063,SAI
10,270.9900145954294,273.4338726278095,VER
11,262.0746925108846,246.9862971254189,SAI
12,205.2775734100585,199.69062888004515,SAI
13,121.70266545524001,121.9353520014591,VER
14,123.72804445924206,126.98628735875326,VER
15,156.17963484075537,151.71253173959923,SAI
16,121.79280532509938,130.15165743005494,VER
17,234.20951905352507,227.61838524444443,SAI
18,170.0728456295596,158.2574045160329,SAI
19,160.95350315567597,161.9918171351275,VER
20,242.1667422071178,244.73557369927195,VER
21,270.82825754385965,276.1805674258824,VER
22,288.95900619871753,293.24671831809525,VER
23,298.24982133714286,303.6425782595238,VER
24,303.83835964444444,310.4561223764172,VER
