Minisector,RUS,BOR,Fastest
0,290.0980101213033,290.5167583487564,BOR
1,298.598423032381,292.04246287085715,RUS
2,162.68817001018962,155.02020257331796,RUS
3,221.43081765003177,217.33484129272355,RUS
4,273.3467633351111,269.63820871426964,RUS
5,293.6497708820915,290.9904920544038,RUS
6,303.93761554225955,295.2809036753114,RUS
7,176.11480982058336,147.79352173942712,RUS
8,132.41671904963778,145.62686406453,BOR
9,251.42815429818182,251.1949783987718,RUS
10,285.41531201600003,282.8601358106185,RUS
11,293.3050320097959,287.4354018119474,RUS
12,137.61528524796964,140.9268369353288,BOR
13,196.39473028955106,197.8416563862911,BOR
14,257.4719637622857,255.4151416710703,RUS
15,194.32061890302714,200.10918215848235,BOR
16,219.16386588433207,223.8926436940877,BOR
17,208.602808745679,215.01860140619914,BOR
18,241.2745296013877,247.33232678827747,BOR
19,273.72134330039216,277.63341008592596,BOR
20,291.341975826704,288.620100225497,RUS
21,260.89736296755905,251.89475611069315,RUS
22,212.52603309638724,217.55517454283174,BOR
23,195.59685884639805,201.3993823468052,BOR
24,263.36015766603174,264.41380498082543,BOR
