Minisector,HAM,SAI,Fastest
0,293.0104818062341,301.3857355842386,SAI
1,297.02574404761907,291.780215980599,HAM
2,163.97154842532328,152.8294882208764,HAM
3,229.7029217345098,233.59693007719298,SAI
4,278.1059116414882,286.5847115914877,SAI
5,296.47509598243624,311.2148093673779,SAI
6,303.65183023114423,322.77398090584023,SAI
7,158.0035585791946,134.8512229819915,HAM
8,139.05185546691777,157.05315106596308,SAI
9,254.3046174014502,265.3389149010899,SAI
10,286.4046000432194,302.9920616288677,SAI
11,295.7705379242145,311.194236578476,SAI
12,138.96711521788572,134.68480952589783,HAM
13,203.18768580712776,210.45850559866076,SAI
14,259.6736973186638,250.6076142166866,HAM
15,207.18467193275868,194.06106183809524,HAM
16,224.43832284379556,226.07934075129836,SAI
17,216.06354904356434,210.95267363439856,HAM
18,244.41895661652615,251.0368199031199,SAI
19,278.6033792410807,278.50446748443835,HAM
20,295.3858035804466,284.0,HAM
21,263.57446386894867,253.64767790130614,HAM
22,226.12601813782544,217.70724073650794,HAM
23,212.29627987738124,214.28547714123562,SAI
24,266.6236616719255,265.81154408447384,HAM
25,285.1785728,,HAM
