Minisector,LEC,HUL,Fastest
0,272.2932140136296,284.7046892946503,HUL
1,115.45387174755066,117.55378486639898,HUL
2,170.71370948883032,159.19244738058663,LEC
3,211.6406037050206,212.00726797682427,HUL
4,171.83403077455057,168.98381527086755,LEC
5,244.81016028604847,246.1433917424762,HUL
6,213.61339467012988,199.69816038377425,LEC
7,141.73788839270492,138.18358307488555,LEC
8,237.36960654175755,238.26818065904763,HUL
9,277.2006410190999,278.0610831413343,HUL
10,289.95172286743383,283.6743863711105,LEC
11,154.78576165358538,153.26717972324136,LEC
12,225.0511614548466,223.53268752229508,LEC
13,270.94894690698413,273.64510618582005,HUL
14,270.21371600234176,247.1666847408947,LEC
15,104.6702464654804,99.60258175078366,LEC
16,226.0052696198421,226.6438937507458,HUL
17,273.88102714277767,273.8835754879785,HUL
18,292.2281424551782,294.61202191238095,HUL
19,305.9238489955556,302.88479321260013,LEC
20,311.18221108278016,308.4057959333897,LEC
21,297.2525755755025,269.3390913777778,LEC
22,159.92560454778393,152.54754101295237,LEC
23,234.6098842910712,243.9755704297017,HUL
24,278.42568409878027,279.67952301714286,HUL
