Minisector,HAM,TSU,Fastest
0,298.3446192722404,284.85340136054424,HAM
1,310.54505684734403,293.42994628593306,HAM
2,316.883562759293,299.1359524190476,HAM
3,306.2725145343044,294.93335600907034,HAM
4,162.34248610809524,158.21118520666698,HAM
5,205.00359932759105,195.86415692342857,HAM
6,227.2898267337636,213.14642841074925,HAM
7,262.4268816012293,257.36064285714286,HAM
8,237.28770135784677,230.03616807599454,HAM
9,153.53964665837495,148.83056268167388,HAM
10,214.38950949015873,214.74776636742277,TSU
11,126.58462747934007,126.35423608223734,HAM
12,229.02379628657533,230.18107472237907,TSU
13,171.88324922057143,165.1733502022297,HAM
14,225.49593092708523,218.89286304604485,HAM
15,222.3568253004329,216.53532958545455,HAM
16,252.00091179428574,247.18206060606062,HAM
17,275.7522607966568,279.8338840571429,TSU
18,146.53958090682423,145.6454767736371,HAM
19,172.17795796877726,164.19783306923765,HAM
20,139.25185410295765,133.62190362122897,HAM
21,151.52318137836957,141.41948151655302,HAM
22,112.33806427645503,107.16316215254642,HAM
23,217.65810292378413,213.67853907787477,HAM
24,262.90302519949205,264.08132034632035,TSU
25,275.3468744,,HAM
