Minisector,NOR,RAI,Fastest
0,301.10916598897967,299.79050558476195,NOR
1,320.6419484150376,319.19801488401635,NOR
2,328.98250537724783,328.6804899737281,NOR
3,325.01480081676203,332.6092106105263,RAI
4,198.29072389785472,194.1512159769809,NOR
5,224.94657465197236,222.0858384826602,NOR
6,271.1571232193404,270.8328476682017,NOR
7,269.4306897252304,279.14860288058026,RAI
8,193.25011518525346,190.85982709213835,NOR
9,155.89816897405473,157.98346051125114,RAI
10,186.25656722331078,187.3172908808652,RAI
11,263.3299683710145,262.6821165449275,NOR
12,252.80533422933334,253.70763788198568,RAI
13,231.97980183033394,224.28594895492682,NOR
14,275.7825755636364,273.1577435399796,NOR
15,176.9055811367667,177.195113486856,RAI
16,220.8206780839506,218.62608430033075,NOR
17,243.11831770151767,252.55471959836012,RAI
18,134.79733477026167,136.52061070142204,RAI
19,243.58250139770556,238.7624754102857,NOR
20,284.99668338503403,280.8644771247715,NOR
21,259.6069061158997,261.72504447977866,RAI
22,142.36284102603543,144.02931545962753,RAI
23,205.74703968489524,202.71124902095238,NOR
24,272.30335453506495,270.36966622341373,NOR
25,287.4375008,286.6833326222222,NOR
