Minisector,LEC,OCO,Fastest
0,302.9548028386923,291.220987705679,LEC
1,225.03191835508184,233.42569867543267,OCO
2,127.66874046001972,128.54897235392937,OCO
3,238.93203297689374,230.7899152647288,LEC
4,193.23913778688384,191.66925960097961,LEC
5,249.80791711828223,244.91457760418112,LEC
6,235.37643156628477,228.73971173135803,LEC
7,257.8945414873016,248.68036600247345,LEC
8,282.0596105086558,277.7773001034432,LEC
9,205.5961061277339,214.0060055629118,OCO
10,206.0017588520471,204.4980911439557,LEC
11,269.26446837585456,264.83078652896967,LEC
12,209.86736676758386,208.10815484498318,LEC
13,247.15024451702425,245.8614412400657,LEC
14,289.8006252076855,288.49471326152513,LEC
15,309.185678839074,299.2383171780117,LEC
16,313.0835357917922,294.7040002348052,LEC
17,235.21515472003625,233.5232475549912,LEC
18,265.7045684391159,264.566935851678,LEC
19,298.9780202056199,291.13400913049,LEC
20,315.1490258891577,302.601204416273,LEC
21,316.4160353131313,298.9510144941991,LEC
22,152.97592412248676,149.31850356975679,LEC
23,234.10530451775034,229.88560178779562,LEC
24,284.49591042119323,278.27598489498416,LEC
