Minisector,BOT,SAI,Fastest
0,299.63077289689863,294.41036852002986,BOT
1,256.473633237357,246.90254281180702,BOT
2,206.43973042748584,205.09072199389416,BOT
3,268.2324823990324,270.06345752492876,SAI
4,232.91086275808013,231.46506123236225,BOT
5,120.13894721525126,118.19586413983855,BOT
6,186.4985680945533,178.45385535669402,BOT
7,260.3335592467559,258.38909410069476,BOT
8,288.8165651824973,288.77787312217316,BOT
9,302.7560567480626,301.03629529817476,BOT
10,305.71267345222697,302.34486809920355,BOT
11,226.9065046606665,220.79293379039865,BOT
12,146.40563560298574,146.30731875000794,BOT
13,255.967326752197,257.97835367192437,SAI
14,289.86559847005424,289.28448848384755,BOT
15,300.97179482557885,299.1436507936508,BOT
16,295.5488558327831,297.41139304796803,SAI
17,271.58183491742017,265.2325474576484,BOT
18,194.57285096621126,194.41929278105306,BOT
19,194.10825103340323,191.97464665583848,BOT
20,191.01055244320315,184.40355559003643,BOT
21,252.4763853313687,256.60171661208926,SAI
22,129.62958706214403,131.97069463831153,SAI
23,197.96695056897644,196.44701156542448,BOT
24,276.4715993461131,275.8509655575133,BOT
25,,288.0,SAI
