Minisector,GRO,MAG,Fastest
0,261.9539306359888,260.8491961888945,GRO
1,132.65159224241776,133.4180975828356,MAG
2,265.1592559644252,266.0484542368618,MAG
3,303.349626080829,304.07299976533335,MAG
4,301.0903808914286,300.73009311796017,GRO
5,307.87033343999997,308.24149973333334,MAG
6,314.1641369904762,312.57909425178883,GRO
7,316.57135413333333,313.4539932,GRO
8,207.50485923809524,210.72349718518518,MAG
9,201.36286077593985,197.28307118223367,GRO
10,182.99221956650337,184.86975504737012,MAG
11,162.23337852258663,165.07967175395552,MAG
12,251.65827433142857,253.56609721111116,MAG
13,282.1782861644841,285.21085792215996,MAG
14,281.96786753124235,284.070879003663,MAG
15,281.0123935836735,282.86570277530865,MAG
16,186.35405242215268,187.25798790080782,MAG
17,193.749010769869,194.8804027860897,MAG
18,238.26641635883257,242.49825869184048,MAG
19,286.17505112757203,287.1566595950839,MAG
20,307.60258088384927,306.94516629333333,GRO
21,314.09319798410934,313.99566798242773,GRO
22,314.25844220491865,312.630333312,GRO
23,253.32818547914613,256.5829733597064,MAG
24,114.82610789805551,118.71751432330345,MAG
