Minisector,NOR,PER,Fastest
0,277.5682737350702,270.49537064231816,NOR
1,303.2016110806719,290.7292636146283,NOR
2,307.6245595840822,294.1062950078908,NOR
3,120.26132234733063,125.75323065582411,PER
4,194.13684242504203,184.2234404250295,NOR
5,252.1085116874283,249.4282592671073,NOR
6,133.22375757164465,132.56965733188275,NOR
7,200.11479778290956,193.4600530537228,NOR
8,257.87416048589404,256.1806584017232,NOR
9,281.46114481347814,280.88667707564593,NOR
10,228.87963054779897,229.92039516883452,PER
11,173.5382780676646,167.33259544441415,NOR
12,191.32826395497958,185.2486652118895,NOR
13,138.88247297473353,140.83330507093822,PER
14,171.5304006449992,175.7099963287423,PER
15,159.58300547133902,159.1078457488799,NOR
16,216.4196346967366,214.03771861499843,NOR
17,234.48553537765096,229.91162689219226,NOR
18,239.85383572906244,237.98715794822746,NOR
19,224.81199580534346,224.42893780291345,NOR
20,142.33755185112992,144.9531649586946,PER
21,125.67178655053655,127.8802648198092,PER
22,168.6069601365894,164.79987623259314,NOR
23,151.6505574029861,151.5055896146612,NOR
24,227.24588875316417,226.73723918683186,NOR
