Minisector,RIC,OCO,Fastest
0,237.56488069596648,232.92873604463855,RIC
1,283.913571072,282.28750026666665,RIC
2,297.95394273524744,299.5212227982587,OCO
3,305.61818841043475,304.93124995555553,RIC
4,255.28802293086687,262.266780828196,OCO
5,171.03420627772357,164.80800516589147,RIC
6,264.27771146808533,261.7479775746201,RIC
7,283.7213093973333,282.52147442051285,RIC
8,212.2112084985034,205.3473235449375,RIC
9,225.87968642380952,218.06119585280317,RIC
10,179.08061042666665,179.49614528,OCO
11,228.32652129160886,225.10199669563278,RIC
12,200.1538198814815,201.18518459259258,OCO
13,208.478617551393,204.2849350448335,RIC
14,221.03451814761905,218.03666671935613,RIC
15,179.16738393210665,176.88267234285715,RIC
16,249.22333149328853,245.7457190694253,RIC
17,288.2941837444444,287.51744543296707,RIC
18,301.59227997975904,301.4521739594203,RIC
19,292.0852356034973,287.8867511794872,RIC
20,130.31839360761307,126.51986700951633,RIC
21,150.92760897667634,153.50995854707512,OCO
22,156.4808233733448,148.63100331601674,RIC
23,201.87379234738702,196.15333636727593,RIC
24,150.90838655995344,146.4803800645294,RIC
