Minisector,PIA,GAS,Fastest
0,314.2054420209606,321.4198529611861,GAS
1,309.64751586871796,327.01813632717085,GAS
2,156.9437824515193,158.4464682457399,GAS
3,161.53675195593152,159.79555191940028,PIA
4,203.6902899178939,194.08835205605442,PIA
5,157.70311338666457,142.54584899854342,PIA
6,209.7138672103266,190.8810168868547,PIA
7,274.36031926827553,271.39958663655506,PIA
8,291.26173498560377,293.6546875761905,GAS
9,281.83135954040404,286.95226164537394,GAS
10,243.49657456995334,231.97673667200002,PIA
11,248.02639557099488,238.8424694240063,PIA
12,219.50163583135847,214.4123605013522,PIA
13,177.06800077564677,177.25940329977325,GAS
14,136.91992501362336,129.2900968101365,PIA
15,132.66515031130578,124.49296860006615,PIA
16,203.8506256451505,192.49885307249116,PIA
17,271.4032569402645,267.6675809010526,PIA
18,207.2414022647517,206.4860460562963,PIA
19,115.80767457436473,111.33957224261263,PIA
20,210.82457319529087,197.4923767415873,PIA
21,189.5981130842704,175.738112128032,PIA
22,245.16032893853668,247.43880148210528,GAS
23,280.5715859805519,279.1789543596435,PIA
24,306.96673766543415,306.749012536381,PIA
25,,315.85500032,GAS
