Minisector,MAG,PER,Fastest
0,291.43019437654226,295.64313725490194,PER
1,300.78584017914534,302.29222293333333,PER
2,165.5745804619355,164.7033048275862,MAG
3,222.82906136000003,225.15619273623096,PER
4,274.5427187639266,279.8638603086421,PER
5,294.15426751681895,300.4488888888889,PER
6,302.9139136,308.2997396,PER
7,165.24022372708734,174.47205899018198,PER
8,129.63273639619047,131.44066077464387,PER
9,249.65980807974069,254.57870370370372,PER
10,284.5455876392157,288.2716144666667,PER
11,297.18125053333335,297.55361109333336,PER
12,149.40901238666666,146.1182596392157,MAG
13,193.8771727304348,197.55294150622152,PER
14,261.11025602242006,262.7074074074074,PER
15,200.10625168888888,191.2822199484567,MAG
16,217.98542014387618,215.28591243174603,MAG
17,217.748836987013,210.10760904347828,MAG
18,242.18700924684077,241.4213616629283,MAG
19,275.8234369333333,276.99944184761904,PER
20,293.78307259999997,292.16562493333333,MAG
21,252.7355580952381,250.66370737010908,MAG
22,217.88949266776984,211.35833396363634,MAG
23,200.6191058174553,202.5464296730257,PER
24,266.6592404430237,269.3463231372549,PER
25,282.1666666666667,,MAG
