Minisector,RUS,VER,Fastest
0,270.58450916492916,270.28655258181817,RUS
1,290.07796853602423,291.65092545185183,VER
2,295.15357124010023,297.4687502814815,VER
3,123.52079298061538,131.48713629437228,VER
4,191.01041001020897,188.78371726922825,RUS
5,251.12572150257324,254.9093253079365,VER
6,136.30369493827328,145.58678099227836,VER
7,201.19782561379628,198.20661188853614,RUS
8,256.57648854857143,257.7425929940522,VER
9,275.9475569052727,282.15526321403513,VER
10,229.09732841217934,237.4266055089027,VER
11,172.38239770223726,182.8349801914346,VER
12,185.43872402525594,182.2287749412151,RUS
13,142.0535324272629,152.97030831601512,VER
14,177.62177369462367,173.4903957864079,RUS
15,160.41893323703147,162.53609296623375,VER
16,211.84133333333335,212.7556534616551,VER
17,229.3293902886129,232.08472306666667,VER
18,232.7318839652174,231.42933698772717,RUS
19,236.47089764320685,250.03047009479525,VER
20,139.79301464961543,141.83608409343066,VER
21,134.1908995517491,141.68889454793907,VER
22,166.914767377282,163.60528255414619,RUS
23,145.57124913831288,147.4061341206349,VER
24,225.48338254856878,222.01191675269337,RUS
25,256.2249984,256.7874976,VER
