Minisector,VER,GAS,Fastest
0,271.3595171947154,269.77554606065047,VER
1,288.7688042920571,287.4726323610251,VER
2,294.8965029142857,293.8637782200206,VER
3,137.5968116052385,128.82989106732862,VER
4,204.4242961284519,201.03552597321243,VER
5,262.1665701475403,257.73307939453997,VER
6,155.01867401097937,139.95595233563523,VER
7,210.93043494034654,208.07780132378474,VER
8,261.3986938370147,260.8940076753128,VER
9,281.5236915123444,282.5231398,GAS
10,253.4649005338,229.38778881337572,VER
11,192.83267625417267,170.29392633573485,VER
12,203.99548427885412,197.27552727338093,VER
13,158.446187450512,141.91008444890159,VER
14,187.42516231931444,177.2940618489913,VER
15,174.62497690701642,160.31744047135632,VER
16,225.78565856482183,223.5290817929405,VER
17,248.11210172207973,226.64572882982725,VER
18,248.32725466441647,237.7395619509516,VER
19,257.72105788055404,224.9110687183262,VER
20,152.05361952305444,151.24542895856524,VER
21,145.35857673350145,130.71251284339192,VER
22,176.5276033955563,172.77897256939895,VER
23,158.6585832885654,152.80800035777338,VER
24,235.90464406469158,233.99647812055187,VER
