Minisector,HAM,RAI,Fastest
0,267.552176008582,272.0035715809524,RAI
1,133.46762505749794,137.34774477781704,RAI
2,194.8335422574027,187.58442363597885,HAM
3,246.30176860438752,244.21888737457954,HAM
4,261.7596148395604,261.9355166359383,RAI
5,176.46139963506985,185.16362704544665,RAI
6,145.1617850255805,143.5619929292138,HAM
7,183.02818244376468,176.43926836490147,HAM
8,100.7812796862845,104.28956620052408,RAI
9,74.7632130385619,74.66223733298136,HAM
10,96.21234205631706,90.56402500805429,HAM
11,176.99671641160245,167.55453957503417,HAM
12,243.12269499082984,245.12979209403463,RAI
13,269.50960570843296,270.1209210451817,RAI
14,281.0648749631285,280.18023768113545,HAM
15,114.54662901534178,117.81486053456221,RAI
16,139.35563747064455,129.53280498225288,HAM
17,183.0023015402533,194.37461095045256,RAI
18,188.90992188021673,195.18234138910748,RAI
19,207.17037030426462,220.41376698423622,RAI
20,129.4069919798756,129.71488404225374,RAI
21,111.86626946771993,129.25684382107818,RAI
22,90.60623087471161,84.56966295853572,HAM
23,190.3299661168619,184.40994026701765,HAM
24,249.00944334222223,247.0857148014652,HAM
25,,262.4583331555555,RAI
