Minisector,ANT,ALO,Fastest
0,283.9924274007686,286.9205313706069,ALO
1,122.24907746695685,121.6525902384676,ANT
2,157.56203869497736,159.55078365798087,ALO
3,219.0728725093333,209.42805473773785,ANT
4,167.3800801232741,167.7977017775318,ALO
5,240.08472581710714,242.62302010702948,ALO
6,213.11611333714288,201.18011320064315,ANT
7,132.61180619948988,136.31547307173886,ALO
8,230.10698477809942,236.40606041138273,ALO
9,276.9987569340056,277.26363865859946,ALO
10,286.0966758050909,279.5426513699687,ANT
11,157.2218496287064,153.71337985456856,ANT
12,216.57969825972873,218.91837706810156,ALO
13,268.9206947294094,269.2266871819192,ALO
14,278.4180141150039,267.0507371424339,ANT
15,102.22650515429528,99.30773374128262,ANT
16,211.53281861642515,205.03767731068737,ANT
17,270.7864854934115,270.28354117904763,ANT
18,294.33177798162967,301.67954519660606,ALO
19,306.59937809608465,315.58127966318597,ALO
20,312.6723888872331,324.1555483183674,ALO
21,308.50475988625186,296.9464965587302,ANT
22,151.90993122555315,152.99427785219208,ALO
23,235.5195889870377,229.03805749629632,ANT
24,276.00979854285714,277.3953350722575,ALO
25,287.2977268363636,292.9370368,ALO
