Minisector,LEC,MAG,Fastest
0,237.54768283061009,230.50109062474067,LEC
1,287.59235618622307,279.3837689892846,LEC
2,303.1949699899354,295.6074743311592,LEC
3,309.9636157013151,302.63599769977327,LEC
4,268.6471653681669,271.8577302517556,MAG
5,171.31254093332274,167.19292804309126,LEC
6,267.0585447383432,256.8956053282389,LEC
7,285.77874890927865,278.1167203471614,LEC
8,220.44815776688225,222.66527123275213,MAG
9,226.05128339924903,216.79138443923202,LEC
10,184.44266421203673,184.6653428283033,MAG
11,227.36564670164577,222.99317359042792,LEC
12,210.32387910747016,206.87685760413785,LEC
13,216.45474494754157,216.65560324723032,MAG
14,227.37618839961502,221.13553245075647,LEC
15,184.81074349788852,182.0246878265232,LEC
16,252.7855169402003,242.4412750288217,LEC
17,292.13089893356874,283.73376265975094,LEC
18,305.89702389841267,297.8831467623673,LEC
19,301.6601901286389,292.01680131122714,LEC
20,133.94418149284485,133.57743947094684,LEC
21,165.7557472485355,170.25587365207403,MAG
22,149.2613210154159,142.20460158875565,LEC
23,208.71683581282332,209.9913239384793,MAG
24,149.61363455311027,142.16098029824263,LEC
25,191.31799690229371,172.71110826666666,LEC
