Minisector,ALB,LEC,Fastest
0,299.35027754158733,295.0913591272178,ALB
1,168.53306257025451,165.6086163611608,ALB
2,177.0061747212179,182.1015919102188,LEC
3,257.59269472832705,258.5700632868623,LEC
4,286.366485244839,285.99489958221443,ALB
5,246.91033313523812,266.0397904080808,LEC
6,226.27251772763523,235.12314746848855,LEC
7,149.55700343091002,153.76195555543404,LEC
8,229.31662812814102,224.34560844804304,ALB
9,286.04937698597666,279.8652005119203,ALB
10,306.7617559917649,299.9570286595969,ALB
11,316.3473793936842,310.1395899870079,ALB
12,320.99017541614035,316.7732215008772,ALB
13,322.47003286736845,313.7780215856242,ALB
14,129.9491825331789,137.107242449955,LEC
15,115.91696968842068,116.73836845961333,LEC
16,103.48939682653943,100.69713437851203,ALB
17,236.51050794466073,230.45126407352825,ALB
18,288.47284293269007,283.0140537097447,ALB
19,308.1643561295031,303.3978265777642,ALB
20,316.9910663568254,314.3158351093333,ALB
21,320.7909352116368,315.65456556214133,ALB
22,129.99282372243914,132.10539803413027,LEC
23,202.47001957029028,196.01525023214285,ALB
24,272.4039805303921,268.88261364184484,ALB
25,,286.27916799999997,LEC
