Minisector,NOR,HAM,Fastest
0,297.28733837627175,297.9386930897697,HAM
1,208.33898080235372,191.11028546739345,NOR
2,225.57044052249216,221.35117552346784,NOR
3,275.7038947614446,276.54771287894675,HAM
4,246.9546750818481,228.00285499107898,NOR
5,132.3168810970244,126.62340176389299,NOR
6,209.78813641446874,203.6049084175129,NOR
7,244.70309500283705,241.6376527076363,NOR
8,239.01352247412495,227.90083233166902,NOR
9,232.35749130676643,216.3135001891689,NOR
10,274.4099970025198,273.69590351357374,NOR
11,289.2066307832125,291.3086838005538,HAM
12,293.46846754156434,304.20523368565824,HAM
13,295.3835993563407,318.0813993892478,HAM
14,295.5775414105806,319.83955638352694,HAM
15,249.21648277525335,249.99458070559004,HAM
16,239.5018793722142,229.53995864925983,NOR
17,277.8640346751868,283.279505877059,HAM
18,289.3487023809524,299.5026359690449,HAM
19,157.7630143597912,145.93195176589018,NOR
20,212.1331632852725,200.38902030895468,NOR
21,174.3545405490031,164.96675380282636,NOR
22,146.5395428359409,135.22377394250756,NOR
23,245.47693788937752,244.12141034170656,NOR
24,284.28237131221374,297.36347090055307,HAM
25,,314.5785700571429,HAM
