Minisector,PIA,VER,Fastest
0,289.808713094133,304.8286494532416,VER
1,296.1338816327485,327.41584548741025,VER
2,290.07780263818023,282.18698577632654,PIA
3,116.84701955807817,104.57545104037028,PIA
4,223.70772026008657,225.70116600180648,VER
5,274.320761001864,288.547539047619,VER
6,212.0763075044898,194.32476599692052,PIA
7,161.81510386512207,152.6659877155717,PIA
8,207.21876556364936,208.6098524804081,VER
9,216.88550014589313,211.9009426978155,PIA
10,121.13784789768569,117.53231868598769,PIA
11,229.76969144495112,227.56115576118225,PIA
12,117.98875618291072,116.46822816154643,PIA
13,223.65769614160342,225.98742093732835,VER
14,276.78290679674893,277.1082253331839,VER
15,218.77189154428277,204.44708925597982,PIA
16,192.31032095000995,188.6894911666939,PIA
17,247.3642064378999,246.08595942626263,PIA
18,206.06931849687004,186.61252890672964,PIA
19,183.10139689452555,184.60111468635108,VER
20,262.4616007873775,266.66384142237865,VER
21,290.9003041288889,291.19652801066667,VER
22,171.7573106120513,156.9237572492932,PIA
23,210.41902130514285,219.28063769533378,VER
24,267.5040450107346,273.6620046324285,VER
25,281.92857234285714,,PIA
