Minisector,STR,HAM,Fastest
0,281.86556722096327,290.7676129714157,HAM
1,139.0042937082666,141.30947960282364,HAM
2,212.1649866601271,211.98891018561594,STR
3,277.73222816646285,269.2041418283288,STR
4,308.9545157757098,314.421515453795,HAM
5,295.5665526090386,314.01243290722476,HAM
6,149.2090669931654,147.99522951719015,STR
7,241.95846581529608,250.96515331973856,HAM
8,112.13454946421606,122.65924932286313,HAM
9,160.43748220168916,149.98657795677167,STR
10,273.14021241417294,274.6148404679261,HAM
11,295.7060310730083,300.1419293249519,HAM
12,219.78759587238687,261.33274232937754,HAM
13,172.06847755437164,148.63719013200026,STR
14,273.08661232014947,268.7193417322423,STR
15,308.8487982305465,308.43842727121876,STR
16,321.4336368992299,324.5109878118682,HAM
17,328.68760324204777,334.64462474666664,HAM
18,330.7554261167702,338.9126785371428,HAM
19,326.247196919916,334.50592531370455,HAM
20,211.74770698285715,249.77958390970016,HAM
21,161.00903039554288,146.79921327974594,STR
22,278.4181436388955,271.1624587539659,STR
23,309.46067703583117,309.6094417922817,HAM
24,318.5277566401459,324.18759587924364,HAM
25,314.0,320.61272734404366,HAM
