Minisector,HAM,HUL,Fastest
0,270.2151945904762,270.11302062459697,HAM
1,246.90816801845375,241.63537198466864,HAM
2,113.25471106895122,117.53979627362702,HUL
3,172.0893703238249,176.3263434905888,HUL
4,186.44389010846572,192.86835004248283,HUL
5,196.19172493731799,195.51223712018142,HAM
6,263.53543795671,266.0734807159605,HUL
7,286.546520068129,288.17476713705116,HUL
8,234.93308013876828,237.46644801866776,HUL
9,139.32905007864397,145.9641778676517,HUL
10,116.25790208983479,115.23558019429636,HAM
11,143.63778671228616,150.75306237514746,HUL
12,244.6980176777143,242.43297210217787,HAM
13,146.824223381822,155.68491686383217,HUL
14,150.18842323276334,139.14317633039988,HAM
15,106.76460460155606,106.70957656178902,HAM
16,215.97371230983393,213.14314947692307,HAM
17,232.6214337219131,246.96170853402504,HUL
18,128.28996831989818,123.84508986610918,HAM
19,239.41717771398118,235.4830149519194,HAM
20,274.6685491224242,275.32550654230727,HUL
21,192.6118321767007,211.40236193516537,HUL
22,152.85511269238094,143.9777339884935,HAM
23,215.55023216971853,216.29847487459443,HUL
24,234.77268956359322,219.48796629235548,HAM
25,,253.84642651428572,HUL
