Minisector,ANT,BEA,Fastest
0,298.08341069942855,306.0808475343915,BEA
1,224.60580964699747,193.15481798389226,ANT
2,215.88179158349692,212.69766838213758,ANT
3,276.3720800797166,265.60670365645024,ANT
4,261.0339271732837,217.38443961104375,ANT
5,122.92872855765228,126.12693343088645,BEA
6,198.63653363633335,207.2444601946439,BEA
7,251.12956700350375,246.99347584129293,ANT
8,239.62376024324516,235.50526971252748,ANT
9,239.9801585567753,228.85567429300207,ANT
10,286.91248193593185,285.30931808963624,ANT
11,305.4735189155556,310.9299117782456,BEA
12,317.72630344536566,323.8560515022222,BEA
13,314.2719035324852,321.62015083348143,BEA
14,307.6294067274854,310.554695404572,BEA
15,263.88251192226363,237.94594947248677,ANT
16,240.12924073818067,232.04120802227104,ANT
17,281.1363081764182,272.73071044877656,ANT
18,288.2191182440573,278.79202063919325,ANT
19,156.87959282443512,149.84346486074946,ANT
20,200.10540591817912,195.08513788773664,ANT
21,179.5973548885397,157.81852930370968,ANT
22,130.28863841828968,133.983930286287,BEA
23,237.2003449444953,245.20755823567583,BEA
24,285.88664082984127,292.3147128899449,BEA
