Minisector,PIA,ALO,Fastest
0,258.52060871657943,260.25618430139366,ALO
1,138.62242979744147,133.15966660533485,PIA
2,272.16297145609184,268.39036502521793,PIA
3,311.40926165376146,309.0373477537278,PIA
4,310.55629510715903,308.52726204830475,PIA
5,318.3803905797088,314.88872689185183,PIA
6,322.85011908266665,317.18676666880003,PIA
7,321.6579349206349,317.8313595753992,PIA
8,203.5160739438164,197.32356327245688,PIA
9,202.25553631371764,205.5576975029077,ALO
10,174.6606629620241,177.53069941804966,ALO
11,182.50766470909556,168.833852930079,PIA
12,260.6530706647471,255.33846823601962,PIA
13,276.04229842672004,273.82498529429574,PIA
14,286.21088623081295,282.2945184994855,PIA
15,268.23739344641007,255.8555105309871,PIA
16,180.57198101449754,168.07185619312145,PIA
17,202.3738972854975,195.22526875673006,PIA
18,247.93221079056195,247.06857205369863,PIA
19,292.1169111111111,289.05218085011666,PIA
20,311.95848899226297,307.3509444578682,PIA
21,317.905088985089,312.4302392963975,PIA
22,313.4972946656275,309.5337773564835,PIA
23,241.0789393900498,240.55384235796566,PIA
24,125.864287106814,121.04721789858003,PIA
25,234.47000192,,PIA
