Minisector,SAI,MAG,Fastest
0,295.71231020071025,292.38270393564335,SAI
1,315.22516666666667,301.8495505676191,SAI
2,318.80437789601274,303.9126334667342,SAI
3,180.69779226492622,189.37337990231532,MAG
4,205.8634208096587,206.41183046875614,MAG
5,199.77425872108836,202.45614101482153,MAG
6,262.5473232822531,263.93540349213487,MAG
7,265.0707640088889,253.82441685435117,SAI
8,213.80650979785167,205.2304541926811,SAI
9,221.78134711350108,190.1452103231183,SAI
10,139.14747641800557,148.0131788844218,MAG
11,200.38847808793645,187.74426852448013,SAI
12,185.5450153058564,192.52752404735617,MAG
13,252.78281894749924,255.39906145365535,MAG
14,180.41296533176472,179.5176499529112,SAI
15,229.52337646337662,237.95735786444854,MAG
16,278.2515305953954,281.670267928658,MAG
17,290.7461850569697,289.9578593546756,SAI
18,288.00756943644444,277.25745303272726,SAI
19,273.1765832080944,262.04972403571765,SAI
20,268.723673809858,260.20672036048086,SAI
21,262.9057331495527,257.45636344752296,SAI
22,229.80934154202725,224.34319994896126,SAI
23,209.569069072987,207.06494799494286,SAI
24,270.19382187573046,269.87995844577074,SAI
