Minisector,LAW,COL,Fastest
0,251.77510245260385,241.73241297026524,LAW
1,285.6789547857875,279.6548809194374,LAW
2,169.416674205059,191.20297520619312,COL
3,142.17929653946362,163.6534108480039,COL
4,257.48038379282053,253.727686594405,LAW
5,272.0615505030491,267.94127362055934,LAW
6,237.01134642075914,239.59262147565715,COL
7,212.41116045368648,213.06039281705947,COL
8,163.7557172895253,163.08438517477651,LAW
9,215.573942945791,213.16765067564697,LAW
10,268.22015591999997,267.69759102305267,LAW
11,134.19158577250374,131.23199040169703,LAW
12,203.55355620774603,210.85909465020578,COL
13,272.87383699266775,273.1606145028091,COL
14,296.3214234008889,294.49656084656084,LAW
15,307.53575576419047,305.0295640616693,LAW
16,246.89275500125487,255.52943293784486,COL
17,127.52419914545021,129.92593425476525,COL
18,130.00427398960824,130.24203177744897,COL
19,118.83363740880172,121.34463537034252,COL
20,224.64150985714286,223.8429696969697,LAW
21,258.146798482963,260.3801759566544,COL
22,242.9946434413714,242.15341937897495,LAW
23,218.26455032900506,223.32675618596346,COL
24,141.1981329367246,136.53030206491425,LAW
25,,213.09285851428572,COL
