Minisector,HUL,SAI,Fastest
0,284.7046892946503,290.4217800292064,SAI
1,117.55378486639898,120.52019219679875,SAI
2,159.19244738058663,174.00113683037722,SAI
3,212.00726797682427,198.39968815433454,HUL
4,168.98381527086755,174.34178518260867,SAI
5,246.1433917424762,243.72265438223323,HUL
6,203.26347424468864,209.07714948845714,SAI
7,137.31737243391652,138.41585963269998,SAI
8,238.26818065904763,239.51601365656566,SAI
9,278.0610831413343,285.73023778024276,SAI
10,286.95703147658054,291.22774175396825,SAI
11,156.09727069991098,154.65819098506591,HUL
12,221.87182173840984,223.37077756732282,SAI
13,272.58916224920637,271.67273028,HUL
14,260.6944655310438,256.4056563531907,HUL
15,102.03146143798435,102.12155258697857,SAI
16,223.0757683107458,223.66450006044442,SAI
17,271.5544216083984,275.77580487230625,SAI
18,293.66911287333335,306.6377172939021,SAI
19,302.69009278838763,320.82134600428907,SAI
20,308.421182328949,327.816344295873,SAI
21,283.10436915555556,264.9474641051549,HUL
22,152.78314099565983,148.69552113321987,HUL
23,238.64786593055624,240.52912727009524,SAI
24,277.20288793599997,285.1019845574477,SAI
25,287.91000064,,HUL
