Minisector,NOR,ALO,Fastest
0,252.9754441031111,246.2112361734369,NOR
1,207.61429218097038,209.7656442408791,ALO
2,207.3249503698008,209.78064279914886,ALO
3,259.00914291836443,259.1528531652525,ALO
4,277.44775183507,274.66577920480705,NOR
5,290.38559983026653,291.0426171248485,ALO
6,150.44393916756462,156.28386020628358,ALO
7,183.23248953860661,181.53796647107686,NOR
8,268.7828263281159,271.68799228887906,ALO
9,294.7809791836735,304.8220181657848,ALO
10,305.8752588224762,313.96664922148466,ALO
11,305.6464031871679,298.5983092397661,NOR
12,122.44641351984762,108.21635133646751,NOR
13,194.16486090764977,195.21707150023093,ALO
14,269.8443328720936,277.4782476941497,ALO
15,294.3188065858586,309.16229382633054,ALO
16,297.5714278503896,315.5077241929786,ALO
17,184.42010101170834,185.97050023370653,ALO
18,219.04506491710046,219.74302204010763,ALO
19,268.51791276627654,257.57169048645966,NOR
20,149.76030026479003,147.99778991952022,NOR
21,139.14170135116038,143.64239314397213,ALO
22,218.21223920215928,218.1100713100789,NOR
23,232.5178560733686,230.2775306110489,NOR
24,155.36324894526393,148.50167600475834,NOR
25,224.43499904,225.54000128,ALO
