Minisector,PIA,NOR,Fastest
0,251.17189466893672,248.92023658495242,PIA
1,136.29575279343567,132.52568729435228,PIA
2,280.78467449766237,284.5061429772922,NOR
3,313.8910914289216,321.6634608015171,NOR
4,298.38418624,302.3400724429764,NOR
5,321.08412527768115,321.56209540723495,NOR
6,324.2734034717582,323.8500362522751,PIA
7,318.5317316806324,318.6249999259259,NOR
8,185.603688828409,192.96019182194993,NOR
9,192.1352612596486,196.01452303466223,NOR
10,167.91604886484805,173.1637769660933,NOR
11,173.70566283344982,171.251367460703,PIA
12,248.61242069049229,249.49008198484532,NOR
13,263.2140419312799,266.257650603821,NOR
14,262.69468585063333,261.5170862340887,PIA
15,248.56195593650793,250.28667417985565,NOR
16,172.7792623639827,166.89230778160064,PIA
17,187.6728238526281,189.08198408259494,NOR
18,249.7872044236991,250.7211860550616,NOR
19,294.77082539288494,304.59104876260994,NOR
20,316.28499469446695,323.79839941800816,NOR
21,293.6128063830659,315.2009595768915,NOR
22,277.86238534433863,300.9968347373871,NOR
23,235.25895526279635,244.85814888242425,NOR
24,120.18612095629979,119.216841569164,PIA
