Minisector,LAW,LIN,Fastest
0,311.18067162642666,320.5355003984282,LIN
1,326.25119779952496,346.92376832725887,LIN
2,331.26356269286555,351.8225509746939,LIN
3,294.1291931854264,320.4592025163655,LIN
4,145.89097287471247,144.4424787184724,LAW
5,183.1823863556729,178.45041142866685,LAW
6,208.29910065789943,208.92376173006704,LIN
7,258.3430673318032,259.08081904474165,LIN
8,223.74029236324526,236.72056862465283,LIN
9,144.10335363441925,143.1307107045097,LAW
10,196.19897868573855,201.0531187189512,LIN
11,119.37329189923877,120.24368757493953,LIN
12,233.4645852367231,231.21799107124883,LAW
13,169.15387272911872,157.6640073661421,LAW
14,207.06695703756085,207.28300880398584,LIN
15,216.09788278452464,210.80339538314297,LAW
16,253.13141819710268,257.813343491141,LIN
17,288.27040832247087,290.99512195391355,LIN
18,138.8541101227664,136.91494990143622,LAW
19,150.31072581313705,151.31998357255878,LIN
20,127.895653520198,127.69169222883251,LAW
21,219.06811181568438,218.5439849669482,LAW
22,247.27637555569063,249.7011092770585,LIN
23,220.16205528897646,227.79699381770632,LIN
24,278.80883675321314,282.42895948952383,LIN
