Minisector,SAI,LEC,Fastest
0,269.80714370975056,269.03541758548755,SAI
1,233.63890205714287,249.33055917928377,LEC
2,114.71435326252565,118.80898722234048,LEC
3,174.7065206469622,167.15712449738376,SAI
4,191.11854165330857,198.8161285503952,LEC
5,189.96671236258206,195.1946039913975,LEC
6,262.8349246623626,263.10566543588124,LEC
7,285.22623161829586,287.4404449879681,LEC
8,227.97832876039848,242.85034999549782,LEC
9,147.31497463927042,142.09556889681124,SAI
10,113.82335475421937,108.39018548828497,SAI
11,150.42245927261837,147.546904845225,SAI
12,242.9680479531629,240.28465353142857,SAI
13,153.64892314559867,152.29644538166752,SAI
14,142.75827085882014,138.66110110782833,SAI
15,108.01606065441321,106.49931243671328,SAI
16,225.31565438234162,210.68582307133948,SAI
17,226.50026572348293,240.48573599670524,LEC
18,125.22618836838993,128.35303820051948,LEC
19,241.86680804746453,237.85130570846698,SAI
20,277.2494411236774,275.7252657960173,SAI
21,198.87884624646463,210.79389371359943,LEC
22,140.2167011453086,138.98880737697283,SAI
23,210.48708354641272,212.7863544093091,LEC
24,227.23810942217145,220.2854473669264,SAI
25,254.5714304,,SAI
