Minisector,PER,ALO,Fastest
0,287.9746965985351,288.9373915716918,ALO
1,293.467695421188,296.26827744985997,ALO
2,169.07327114761904,170.9470746091018,ALO
3,220.25610660935158,220.60716667733334,ALO
4,270.6829971716344,272.35855219649125,ALO
5,291.78981481481486,291.8821378524346,ALO
6,300.40661586715436,299.66176476862745,PER
7,177.96471804675244,196.87642031216703,ALO
8,121.2964043773711,116.44220925217391,PER
9,245.6687074829932,244.36946429268474,PER
10,282.26137756967285,281.4011894168266,PER
11,293.22112787468575,293.1828704,PER
12,153.75059774291972,155.88423666718506,ALO
13,188.49470554094174,179.5724536906404,PER
14,254.97021311518233,252.203108284731,PER
15,210.39585047351383,217.93787292063493,ALO
16,217.488,212.19825423702716,PER
17,216.6154563589946,216.17850039466666,PER
18,242.7775359536232,235.6166658909091,PER
19,275.27085881276565,272.19796002885323,PER
20,289.7780700631579,290.48611093333335,ALO
21,268.42229168,277.29000106666666,ALO
22,227.22214470579252,236.42232405358877,ALO
23,206.1066997278434,200.2060178567901,PER
24,263.1216268698413,260.3760108181065,PER
25,,278.53233811836355,ALO
