Minisector,HAM,VER,Fastest
0,306.55516672,296.7139423179487,HAM
1,244.72568286664665,239.47718769934167,HAM
2,135.92056517371387,133.50047061224916,HAM
3,239.09734003333332,237.0284837618474,HAM
4,191.5466026073486,193.66087739513475,VER
5,242.11861986666668,246.7867063718944,VER
6,228.5845399313202,235.98407722857144,VER
7,258.49302015844535,259.8426825544811,VER
8,288.05969179234694,285.7640433382716,HAM
9,218.3721824152341,213.22291054124656,HAM
10,208.16594660250627,205.2716970921835,HAM
11,272.3344125177027,268.9885860647119,HAM
12,219.6377375085714,213.1775684052771,HAM
13,250.21031565460203,253.0954804931118,VER
14,292.6909800439561,289.5360256077637,HAM
15,307.8405449846154,297.81009612307696,HAM
16,306.10966660266666,295.0796473846154,HAM
17,238.87768602428605,242.64321012249437,VER
18,270.2083335727891,269.4708494356363,HAM
19,300.14591555076,294.7452164345679,HAM
20,308.13480951466664,302.8072114871795,HAM
21,299.37506847949874,298.001833216,HAM
22,160.58745903726702,157.78780188520668,HAM
23,238.43445019506885,239.279309836079,VER
24,290.2615415473711,287.2785499259259,HAM
25,302.4,,HAM
