Minisector,LEC,TSU,Fastest
0,304.8090248999619,309.61305880242423,TSU
1,138.0252620121022,136.15422893963606,LEC
2,213.0371762587199,207.39907296446367,LEC
3,278.05289656261874,271.0627501057173,LEC
4,319.5583647129252,308.68405945131315,LEC
5,318.97989964083456,312.2843465919212,LEC
6,147.37749670097335,146.20487124473837,LEC
7,243.29984345212625,241.0297693480635,LEC
8,114.89789075697031,116.71623778935728,TSU
9,140.2938104309179,141.77817703750492,TSU
10,273.3514478040381,267.3792847660869,LEC
11,300.06482128979593,297.9593212681143,LEC
12,252.18025204370005,254.43927534525875,TSU
13,159.79910896146924,147.0836396738452,LEC
14,271.0959420176281,269.0588081627032,LEC
15,308.7943583631078,306.05434076298184,LEC
16,327.3464079622161,320.5369740862744,LEC
17,337.6181855552532,327.34490044121213,LEC
18,348.0544197371429,332.11907057246754,LEC
19,349.65136271879703,335.89897326349205,LEC
20,211.3717360500022,239.5476780047649,TSU
21,152.06412597270224,149.55646439825173,LEC
22,270.1147018899549,270.72963540148146,TSU
23,312.2321499830303,308.0333450689947,LEC
24,328.02972219555556,323.8956162056328,LEC
25,,324.28409076363636,TSU
