Minisector,PIA,NOR,Fastest
0,282.296441105581,285.46700840749514,NOR
1,298.02225464339267,301.6161456875421,NOR
2,236.75453922203857,244.9159169211487,NOR
3,119.44300951041421,115.45057504045144,PIA
4,132.45805626638557,133.67890977759498,NOR
5,254.9199146955225,252.1883924063492,PIA
6,264.7268761066667,255.29882364305624,PIA
7,121.58218720065825,125.08584309850006,NOR
8,244.88698290715445,247.19938513720928,NOR
9,258.7615845613766,263.8730030015855,NOR
10,218.227270784015,228.61843533964174,NOR
11,140.36130188093017,138.583409867183,PIA
12,203.45205855256427,204.33840450113584,NOR
13,266.76223325990003,268.00155831914753,NOR
14,117.14021628639948,117.78571269214511,NOR
15,192.95760804503269,190.2297479675817,PIA
16,260.75992379848174,263.68492196562914,NOR
17,290.287520827232,292.36417876392153,NOR
18,302.61809018962964,304.5766747557615,NOR
19,310.19804749321787,311.32098602590474,NOR
20,313.61251321227513,312.44928252263816,PIA
21,152.46468154116062,175.9445946182959,NOR
22,163.7626058650719,150.71034001774214,PIA
23,207.33322824070234,209.16771189442403,NOR
24,238.27661096921153,244.46631854749663,NOR
