Minisector,VER,TSU,Fastest
0,294.12602775820665,295.2670384952381,TSU
1,164.81392592021993,168.3475586588558,TSU
2,179.9087728357092,181.77508179098314,TSU
3,251.8232843276334,255.8535857932919,TSU
4,284.0221706764289,286.18904177132106,TSU
5,260.7285118114286,260.2859697741381,VER
6,228.13188614509403,232.99379972332815,TSU
7,151.83054542746203,151.41473093532593,VER
8,222.4008351753484,224.09374278658603,TSU
9,278.9873109317172,280.15155615059416,TSU
10,299.88021457290927,300.9138852073213,TSU
11,310.84325984174984,311.78557761134795,TSU
12,315.38846760293427,315.6936173265163,TSU
13,317.0764677257143,315.9466515009524,VER
14,131.7228915194798,126.06692348225182,VER
15,121.57868503644549,119.63144099628634,VER
16,105.33993489431883,103.5368517426181,VER
17,230.6876149769375,231.7611423494211,TSU
18,283.22120336922154,281.3488776991136,VER
19,303.65332514938774,301.4350355314954,VER
20,314.07729197860965,311.6681280379798,VER
21,315.5611702057093,312.3935454117647,VER
22,126.30402593853213,107.88308077031425,VER
23,199.60627279763924,211.2247931356907,TSU
24,270.2404214864198,274.33437639950307,TSU
25,285.64999936000004,,VER
