Minisector,SAI,RIC,Fastest
0,260.28247398717394,257.47707560843605,SAI
1,221.74236844226505,222.5118689231363,RIC
2,145.59160489876544,147.83430005841618,RIC
3,242.85488040257775,241.0286661577655,SAI
4,269.954736952381,269.91668867562663,SAI
5,176.88178881058042,178.30230835105291,RIC
6,97.80535293312215,98.20822399407898,RIC
7,137.40513170655933,134.47897963844008,SAI
8,252.19520579164833,244.37915130968491,SAI
9,164.02503434874777,160.54314796065597,SAI
10,186.43680427456746,185.38325262222222,SAI
11,259.32415575459373,252.7345558990854,SAI
12,249.80907746813185,232.20273029885058,SAI
13,266.8329306875039,245.63463275642658,SAI
14,286.80199257971015,274.94913137777775,SAI
15,271.67275505397515,266.2148346453333,SAI
16,139.90053427388452,137.20112415938672,SAI
17,235.88183149151996,231.57915788695178,SAI
18,278.6724635826087,274.4023952870552,SAI
19,288.90346787246375,285.9385800970143,SAI
20,291.9429347246377,291.42362771925553,SAI
21,293.23667933737374,296.91252695411254,RIC
22,147.28222009321175,140.28439829462653,SAI
23,84.28635749099068,81.95905370287859,SAI
24,167.8290561403509,158.94338885970495,SAI
25,244.22083519999998,236.8750016,SAI
