Minisector,ALO,GRO,Fastest
0,279.5680991675235,268.888571925677,ALO
1,306.8614279720635,287.5917599551348,ALO
2,310.93750013333334,295.7709280886026,ALO
3,123.53863267160716,132.30248493316194,GRO
4,195.02163903011876,190.18136676636152,ALO
5,260.735418718406,256.08018347667326,ALO
6,133.78744964817832,143.8267539431825,GRO
7,203.74695122275955,195.4329510068529,ALO
8,257.8383104094746,256.75372076422053,ALO
9,278.25613423963904,280.25969265905394,GRO
10,226.4718779992263,228.84420253267325,GRO
11,178.26426657163427,180.60428742778203,GRO
12,188.87534670091634,179.4133403632885,ALO
13,141.67596157437924,145.54080101558648,GRO
14,170.76996161611348,168.98276131234942,ALO
15,156.10120282163635,153.89865141899807,ALO
16,216.43990770853864,205.01225224876197,ALO
17,229.17329609989392,230.0450785672086,GRO
18,236.59405101680022,225.96160832385885,ALO
19,239.8875771435865,252.41902653400558,GRO
20,138.1472146136099,138.4863327487501,GRO
21,133.17053735097528,138.6206902553708,GRO
22,167.00093135766815,161.3496706841267,ALO
23,142.26084384960777,143.57839994786954,GRO
24,227.966816222706,219.93129212714032,ALO
25,,254.67708266666668,GRO
