Minisector,NOR,OCO,Fastest
0,214.94335644203238,121.19195068553114,NOR
1,204.10925237578283,139.9196497748547,NOR
2,269.95523712761906,152.0930471112373,NOR
3,306.0117205699681,140.00232468412227,NOR
4,317.78613405938376,179.23135386579378,NOR
5,167.59099599139785,147.00012096456283,NOR
6,201.56146037409565,145.13007175919992,NOR
7,274.1734638035088,140.2529963447958,NOR
8,304.61831586094144,144.91731638548916,NOR
9,317.3867426764149,166.6149573901738,NOR
10,247.83826007272728,159.68205566834735,NOR
11,101.70731950765398,112.16746427858709,OCO
12,225.22448378181818,106.25213245846936,NOR
13,282.1731639038082,137.01641498658327,NOR
14,306.58105701288514,174.33943598442997,NOR
15,218.32517153226038,134.51301407347177,NOR
16,131.2755800189246,141.83000149333333,OCO
17,238.18224071111112,,NOR
18,236.27973532121212,,NOR
19,180.7938289320635,,NOR
20,220.80067828489322,,NOR
21,219.95490981587304,,NOR
22,262.682488884663,,NOR
23,287.44171526083437,,NOR
24,294.20046394074075,,NOR
