Minisector,SAI,PER,Fastest
0,287.68332745295237,281.8640350315789,SAI
1,164.10221203665273,156.2985320755837,SAI
2,176.99879565575594,177.25155891087854,PER
3,253.50535279490413,246.00938355245148,SAI
4,281.8154985606096,277.99427783933487,SAI
5,247.25888754867722,245.00207360074367,SAI
6,227.01457553782404,227.44896895445342,PER
7,155.84563878098334,158.49309040786815,PER
8,233.47304221787886,230.06793618751897,SAI
9,280.50859950217824,277.3574397658874,SAI
10,297.5777231494737,296.38020472876957,SAI
11,305.4610937066667,306.3660515707936,PER
12,309.8759905311943,309.72676767030305,SAI
13,308.08779382974797,305.2903024754298,SAI
14,132.01654120345805,122.30042509603861,SAI
15,119.58534089762853,108.35127919355989,SAI
16,97.6234500858492,103.58320692094757,PER
17,234.38973711445888,238.5071023009524,PER
18,284.83169377121897,283.85440911460057,SAI
19,302.7515185802554,303.6726729863204,PER
20,312.1134137236424,314.59227632654967,PER
21,316.15473258382156,316.20355656761905,PER
22,116.89056903823256,119.90313991090237,PER
23,201.53788571146384,214.61926162401153,PER
24,265.19743611791796,264.21685841154476,SAI
25,281.4,,SAI
