Minisector,VET,PER,Fastest
0,298.0252604666667,295.64313725490194,VET
1,307.9524234122449,302.29222293333333,VET
2,172.496415550193,164.7033048275862,VET
3,231.00312512,225.15619273623096,VET
4,280.42923379237095,279.8638603086421,VET
5,298.55559032165684,300.4488888888889,PER
6,304.34000000000003,308.2997396,PER
7,179.6441971047619,167.3038710138476,VET
8,133.84202368,135.02344474177977,PER
9,254.215942523465,254.57870370370372,PER
10,286.484375,288.2716144666667,PER
11,299.44973953333334,296.1440104,VET
12,154.04209280540087,142.02291639215687,VET
13,196.84373643395446,200.2396637630138,PER
14,264.80812266078175,262.7074074074074,VET
15,203.63405787826088,190.67093115051844,VET
16,226.58486782643362,218.6668648126984,VET
17,219.86746031746029,208.43068218181818,VET
18,250.71947786232494,241.4213616629283,VET
19,280.680638634822,278.4390871534391,VET
20,296.6306372392157,292.7888020666667,VET
21,262.20485501632356,245.743934114936,VET
22,230.07395882666665,209.38623248695652,VET
23,206.93465856969698,204.2076310217996,VET
24,267.2186273882353,269.3463231372549,PER
25,286.7,,VET
