Minisector,RUS,LEC,Fastest
0,281.42370998973036,272.2932140136296,RUS
1,122.0071877828362,115.80289921456409,RUS
2,163.71290897833507,168.22906792137206,LEC
3,218.96055937163638,217.02465189902222,RUS
4,170.7699627798121,168.1499583383166,RUS
5,243.22120613614038,242.91542344394315,RUS
6,226.98172207790273,224.31437297414968,RUS
7,135.09962114233826,138.8019324851948,LEC
8,226.8184791109433,234.4198588569091,LEC
9,276.31138569222225,275.67077995243324,RUS
10,292.002695852344,292.47151954016806,LEC
11,166.2604415893651,164.94872527676546,RUS
12,217.05824447016553,208.60975826978355,RUS
13,268.5969814689216,266.0936549089514,RUS
14,276.72672102233764,280.6831019164639,LEC
15,102.56363732996569,107.46592324419437,LEC
16,201.90321145697723,203.14084592643167,LEC
17,270.9638218186147,265.10459110583326,RUS
18,291.20672294184874,289.6365474306474,RUS
19,303.44689481981266,304.19232565333334,LEC
20,308.3972222273016,310.35312746362956,LEC
21,286.77759115670995,307.12775852930827,LEC
22,157.47166676667763,165.50485146398057,LEC
23,235.93812226285715,217.98442014076838,RUS
24,275.29834235050515,272.37650807275446,RUS
25,287.88500096,286.77347136,RUS
