Minisector,ANT,ALB,Fastest
0,283.09225110926405,280.0942705320415,ANT
1,302.2487745246753,289.1286409828571,ANT
2,239.97642688321832,234.25687113338216,ANT
3,118.30602383264821,110.68627648140898,ANT
4,130.84615180496593,137.707009032867,ALB
5,249.33761262960954,254.01079316772731,ALB
6,270.7949410660652,250.60880025565663,ANT
7,125.33102862080831,123.68280387208512,ANT
8,241.64152218884436,246.13765177583736,ALB
9,253.83228008527473,256.4540524899379,ALB
10,209.27974815940468,211.06407270697778,ALB
11,138.84256664211145,141.56193629568716,ALB
12,204.694767180085,211.0364426499277,ALB
13,268.1422737423894,262.5879186090096,ANT
14,121.52533919020293,116.55763040498175,ANT
15,193.35075592628084,193.99197309083013,ALB
16,261.59326681904764,259.6410280643386,ANT
17,292.2108733483749,291.76778479457136,ANT
18,306.4285402402005,304.6433082145363,ANT
19,312.3901304639488,311.8081894514286,ANT
20,315.51449656,314.2731481837037,ANT
21,159.09373500367386,153.6810374825732,ANT
22,145.32005749867247,151.8533334892996,ALB
23,206.8438318609184,197.55672511634157,ANT
24,241.38476416419763,242.3517424447205,ALB
25,269.5416693333333,,ANT
