Minisector,VER,HUL,Fastest
0,305.2850835274831,303.34321726402555,VER
1,224.7716724573776,240.49325536880914,HUL
2,135.28797555758075,128.8503809711722,VER
3,232.73637017459401,239.9076745714224,HUL
4,194.58525040166586,189.73782079766428,VER
5,247.84025404043638,245.90991518210623,VER
6,231.36118123757208,230.36656592637985,VER
7,260.78638605401835,253.484606441693,VER
8,293.0855671749573,290.1567558945582,VER
9,197.96337920513375,210.99497770538045,HUL
10,206.41163576609904,206.31927032350941,VER
11,276.53685206098254,274.54025651713204,VER
12,216.86214083404522,214.973289798514,VER
13,253.67854887567864,248.7734791284737,VER
14,293.82432699791514,291.5088435252623,VER
15,308.732875008,306.566434966196,VER
16,315.09602771630176,307.62334673263246,VER
17,214.76328118371052,212.8387227922106,VER
18,266.42011239203833,260.9768275051082,VER
19,297.92242213040294,293.79042990894544,VER
20,306.46258781192984,308.8621088435374,HUL
21,309.06454545454545,311.18968668380637,HUL
22,152.74047186964836,153.1143056054562,HUL
23,232.98391055915218,229.74122320571428,VER
24,285.51589535887126,285.10119076952384,VER
25,292.77000000000004,297.37500032,HUL
