Minisector,ANT,GAS,Fastest
0,310.3627388773109,327.37472590637805,GAS
1,248.57167779381908,246.64563212010802,ANT
2,131.4920157072132,130.49941424859747,ANT
3,214.05998433546785,216.7134420593027,GAS
4,263.5742564028988,263.1154270190476,ANT
5,290.1008911313837,288.48269469595766,ANT
6,305.51770563287175,298.74712955880125,ANT
7,294.0038889382067,283.98955175195766,ANT
8,177.11559730378377,175.46205450910475,ANT
9,235.63396032059487,240.67970674750103,GAS
10,272.0873265780058,269.94561301124185,ANT
11,268.78354600144775,257.9809349029129,ANT
12,208.8095640081001,206.02570325887444,ANT
13,126.6345584499654,120.21237757394765,ANT
14,119.33873400753912,118.04725771896854,ANT
15,163.00089896837926,172.95184437504895,GAS
16,121.00503742222303,122.02436427306326,GAS
17,224.23446998890125,223.3936202144218,ANT
18,188.0511830789156,193.35069262868686,GAS
19,156.05649385027917,158.1026330725772,GAS
20,241.51906792703502,242.76436768128437,GAS
21,273.2269823858628,269.27411856285715,ANT
22,291.43256190431373,287.610231757037,ANT
23,301.01812498,299.00942643121,ANT
24,307.02241589270784,305.2568143222222,ANT
25,,308.0,GAS
