Minisector,LEC,STR,Fastest
0,275.0548455687716,271.29917128707484,LEC
1,297.34907350187035,291.4311856409019,LEC
2,296.2485000472381,289.25038882133333,LEC
3,190.88870855434644,181.31051166773628,LEC
4,122.52071085973476,123.40166649010966,STR
5,237.13531961915217,236.83093555977305,LEC
6,286.0929350796524,280.5622191634804,LEC
7,302.99023351414485,297.6505783555555,LEC
8,175.1882894781789,184.04693897223765,STR
9,139.61132859512065,140.4151092735206,STR
10,251.22409971453234,249.39350542111444,LEC
11,287.57086833417253,285.25727931750384,LEC
12,297.96842073129045,298.1837617859048,STR
13,279.6836418765432,278.781646510483,LEC
14,301.6662482795995,298.02302403047617,LEC
15,306.17567660900477,302.9518529128885,LEC
16,254.13051964936608,253.19160987584718,LEC
17,215.48225551521534,220.01008137922355,STR
18,279.6443337216887,279.17885846913583,LEC
19,306.6838766376812,305.20713608861126,LEC
20,314.7829969358178,312.0032608,LEC
21,217.6635715148399,226.47041973469908,STR
22,258.227033231746,256.38987560719045,LEC
23,136.62706623546507,136.49415639439167,LEC
24,210.48847401521303,208.53488892094856,LEC
25,257.18749866666667,254.78333226666666,LEC
