Minisector,PER,BOT,Fastest
0,279.41859830787877,291.9668135193074,BOT
1,292.4420609105473,307.99184997399414,BOT
2,297.79032120117785,315.7797181124183,BOT
3,297.82619762229274,305.8855074116402,BOT
4,168.63010107598228,158.7099092050373,PER
5,203.43906475720163,196.65783638934775,PER
6,232.15823288318217,220.00938277073718,PER
7,263.89675268244895,259.10765975652174,PER
8,252.00902863480468,233.23529009168524,PER
9,155.18648475564004,147.7679906379487,PER
10,216.8773777542798,213.78586578624106,PER
11,131.39065860502163,127.68036964989274,PER
12,223.41815232433748,219.4111093811717,PER
13,175.52635330521406,172.1499623073645,PER
14,211.91127697772984,203.42065265896102,PER
15,226.23423015902807,213.94176966172017,PER
16,255.61433201874894,245.75582743047616,PER
17,283.66484937142855,275.6479558463492,PER
18,153.14393744279113,153.08296971884423,PER
19,164.27727968170373,153.72230329304472,PER
20,139.96438484401355,132.8782509976508,PER
21,153.58134135869707,150.06814571793652,PER
22,110.9591965904933,105.49489188312096,PER
23,217.58644956675323,202.79469486281013,PER
24,263.40286845765047,257.9922315590083,PER
25,,272.728124,BOT
