Minisector,RUS,HAM,Fastest
0,289.4760024571114,290.02803108810457,HAM
1,171.20979461937327,160.3983127751737,RUS
2,167.9583613180004,174.55325696712524,HAM
3,250.58475254450795,253.99094713634688,HAM
4,285.035459334966,282.97447919919193,RUS
5,253.11478751265597,251.22325979484884,RUS
6,218.8254729735279,226.51628059654323,HAM
7,153.56766297910937,153.2253391081003,RUS
8,227.32098958728386,230.93945475538973,HAM
9,282.63771509925925,278.2797692916796,RUS
10,299.0287370444828,296.26500636818713,RUS
11,306.0350565773983,302.8733872364827,RUS
12,308.79361635080215,305.74185465797825,RUS
13,308.75,306.5054557629629,RUS
14,131.45689333297693,129.73708328145406,RUS
15,123.35490209796673,123.29328858809782,RUS
16,105.9644392581693,106.7382260494399,HAM
17,234.21774938531357,237.5488894667278,HAM
18,286.6445611398256,285.6946441504974,RUS
19,306.3457420377727,304.2610095444064,RUS
20,313.27664405684055,313.0069055619478,RUS
21,316.7686662842857,317.5365497263158,HAM
22,135.71367031794142,125.42295019435049,RUS
23,203.27672826934244,209.37059124104437,HAM
24,269.22667033936057,267.41596406639457,RUS
