Minisector,SAI,LEC,Fastest
0,292.4956301047811,295.04088312844476,LEC
1,303.7802046735749,307.8793441935802,LEC
2,307.923499968,310.0053031653333,LEC
3,187.15118556577735,179.26067366089532,SAI
4,208.7900637840191,208.48930299418373,SAI
5,202.267608465691,199.87964147138322,SAI
6,263.5887026078223,265.70924595722244,LEC
7,253.08597974221516,238.95296673500843,SAI
8,211.99679130373627,210.2014105678718,SAI
9,210.10486179946187,210.36466311416257,LEC
10,141.49498981626317,134.37480616440575,SAI
11,199.20084669310353,196.24526668580404,SAI
12,184.33113802391168,182.71623081265744,SAI
13,249.28888381809523,255.29464775495074,LEC
14,181.12665398510705,172.76470643152382,SAI
15,233.01578426598292,234.02871761697602,LEC
16,280.57425756688053,282.52958830330067,LEC
17,290.6984016578483,290.9136937694967,LEC
18,281.8102639746494,277.88605347520297,SAI
19,267.2176533350424,260.54122074746687,SAI
20,269.9453261711977,264.07397275151516,SAI
21,261.91658363195745,261.0905640194116,SAI
22,226.53414009550528,227.42852896920178,LEC
23,214.51310706167743,207.8195837758192,SAI
24,267.9681001088765,273.7734404252169,LEC
25,284.2,,SAI
