Minisector,LEC,HUL,Fastest
0,273.04670895620797,277.7659712888889,HUL
1,292.355043502514,297.4413417993586,HUL
2,233.1214531717796,225.92428443218392,LEC
3,126.59097787976478,125.41295653351354,LEC
4,181.33216921985002,183.91276500720355,HUL
5,119.61628147104089,120.76017936728347,HUL
6,210.08002164825396,206.7605057835686,LEC
7,260.8272507688305,258.80690065857584,LEC
8,174.61484642962964,178.462203832843,HUL
9,181.05377711338704,177.60313584309085,LEC
10,263.06008536866807,263.64531177777775,HUL
11,188.9494372664368,197.993434127201,HUL
12,162.44129942664753,157.5591503883244,LEC
13,254.81761973638095,257.96147753831593,HUL
14,271.047132053218,276.19489055873015,HUL
15,286.07841639089025,289.74273167251783,HUL
16,199.52580575018732,204.53600408479264,HUL
17,189.34615501386068,185.17491137572446,LEC
18,240.63752077367857,241.00617102222222,HUL
19,281.30823036024844,285.1011009632163,HUL
20,293.09265889523806,296.53982675670994,HUL
21,210.8753804141321,219.06252848769037,HUL
22,143.28257730909093,138.71836963743115,LEC
23,155.44734214912893,155.94435121151224,HUL
24,220.74530187553097,221.96530283364186,HUL
25,257.7250016,261.53941812627266,HUL
