Minisector,LAW,LEC,Fastest
0,289.0769258989051,295.2112245320166,LEC
1,160.62502477307493,163.83801835125746,LEC
2,164.99528355178683,151.2666691064566,LAW
3,231.9425233177957,231.37099523226465,LAW
4,288.870508667248,293.0781585438939,LEC
5,281.5731983978929,291.3443923123722,LEC
6,144.0331214740019,146.48381958379125,LEC
7,144.93511600438686,141.00371295324933,LAW
8,130.8709616617675,140.84507999161883,LEC
9,187.3480991090141,188.8228172365214,LEC
10,140.99334307834272,128.45315168239475,LAW
11,127.86753515438696,125.20531402797697,LAW
12,174.5033196135826,173.3565648484443,LAW
13,270.43073779485206,271.0048091767198,LEC
14,293.90165538518255,295.07892981531666,LEC
15,152.37922089488472,156.72375114209513,LEC
16,202.7018915652661,202.41857942562154,LAW
17,179.84815190570203,175.7423125723968,LAW
18,273.1988176239287,273.3813000055883,LEC
19,294.9338487006781,298.0061701777852,LEC
20,310.10974175703956,314.4654165138624,LEC
21,317.19566742254887,322.52922965174963,LEC
22,321.91765422337664,327.5583247518023,LEC
23,321.193248984103,332.5641972014286,LEC
24,310.1358280693957,331.12402008631716,LEC
25,,327.0,LEC
