Minisector,BOT,HUL,Fastest
0,272.47113383628346,276.58203174015955,HUL
1,289.5086025572501,295.81086846245455,HUL
2,286.65780673867295,294.1046168757122,HUL
3,188.00004671726384,189.95465489919874,HUL
4,126.31801453503714,123.27955691886905,BOT
5,235.3353871788274,238.859811372043,HUL
6,281.0929320378974,284.59656874508613,HUL
7,293.8378767573548,291.41950007466664,BOT
8,178.26941869057117,181.85211219233275,HUL
9,142.13485302202145,141.72664225704008,BOT
10,249.1919993826871,251.7498623079108,HUL
11,284.7500638192727,286.6838377533283,HUL
12,294.27599991466667,300.5828158767175,HUL
13,279.916849810989,286.989333248,HUL
14,295.0950561708967,300.316475904,HUL
15,298.97079228603235,306.76760494634993,HUL
16,263.2305111115721,262.61651951020406,BOT
17,226.16044886045074,223.01849190173556,BOT
18,279.7287470181764,279.0565705752381,BOT
19,301.38142373333335,302.9247325421813,HUL
20,307.24019585020216,301.8810384585002,BOT
21,239.40138801777778,225.7373286712316,BOT
22,260.06143120084374,253.76580541059678,BOT
23,136.29288449931354,140.23590409839895,HUL
24,216.11252571937302,207.7803604993581,BOT
25,,256.65899630888805,HUL
