Minisector,LEC,BEA,Fastest
0,293.70869081142854,306.45488937168045,BEA
1,304.83650318702234,324.21136066400453,BEA
2,291.0997871809774,298.2931439438961,BEA
3,110.00514535390788,106.17561397998905,LEC
4,220.40160385346502,228.3031655054222,BEA
5,274.3051414773183,285.3477347400866,BEA
6,209.38369851950708,193.72685302883414,LEC
7,154.1784975187995,161.11985423208216,BEA
8,203.38795778428914,197.5584858957804,LEC
9,220.30890622098386,208.09615870906833,LEC
10,121.15297747954934,107.54600719504526,LEC
11,229.57906243792917,224.92439254200934,LEC
12,117.53540617962013,114.14987754184934,LEC
13,227.33356491555557,228.19146108132173,BEA
14,276.4432707113315,288.3187991072606,BEA
15,216.42760838270388,194.87691479194865,LEC
16,189.4771925495872,185.59456244502164,LEC
17,251.69916687183672,247.14514900743,LEC
18,189.3246914621216,183.89401484054835,LEC
19,186.0740049599162,179.45270129307107,LEC
20,267.4681343011111,265.25124937600003,LEC
21,287.4844955972789,290.44910226005265,BEA
22,165.4612336100901,164.8704969013337,LEC
23,204.93631784089212,215.8672960382393,BEA
24,276.4850069029957,277.65560504785367,BEA
