Minisector,OCO,RUS,Fastest
0,305.78836298410437,313.19795382671384,RUS
1,189.7441202236553,185.90813894954823,OCO
2,113.21109201106499,113.32973297478726,RUS
3,198.50459162698414,196.34892372156108,OCO
4,255.89040554426504,255.76882226748586,OCO
5,282.87232665627704,287.6775520950051,RUS
6,298.3542602722078,304.42838538095236,RUS
7,243.08360703003626,230.21673746919916,OCO
8,141.7751215030303,143.33029356611337,RUS
9,224.43678790095237,231.27135765386802,RUS
10,267.8947028761905,271.6127248082088,RUS
11,234.71226546424242,224.29164696899826,OCO
12,175.31591434321268,170.91540649548492,OCO
13,108.5513973935951,106.70171896084656,OCO
14,105.56212576634027,106.75429270553167,RUS
15,149.6819592817316,139.14595054607472,OCO
16,105.41269984675415,112.96383411255519,RUS
17,205.18502533614267,211.56171949482922,RUS
18,154.89898414337662,150.106114709963,OCO
19,147.15591029154584,144.72666630417578,OCO
20,237.73581776962405,244.34979069494952,RUS
21,270.3721640616785,276.4421293925926,RUS
22,289.7061454567003,295.0936612935245,RUS
23,299.6634069328254,306.312666432,RUS
24,304.37041971536956,312.4584490962963,RUS
