Minisector,HAM,HUL,Fastest
0,291.1604403978562,298.76208661333334,HUL
1,299.79317665408206,301.9378840647037,HUL
2,162.6778954106298,148.6111467927778,HAM
3,220.25050305114317,222.93643777601434,HUL
4,272.7688654577778,280.45586180190475,HUL
5,294.12125830502106,307.73229200000003,HUL
6,301.2954265269841,319.3014717501141,HUL
7,179.92626021873724,136.78333170132157,HAM
8,128.58267379961433,135.3075003958913,HUL
9,247.22499412419046,254.2451224088889,HUL
10,285.3467165008947,293.88110460340226,HUL
11,295.91506735714285,300.6116388006015,HUL
12,142.51260983682636,132.1782281667823,HAM
13,190.47953013017377,196.0670469461157,HUL
14,259.62982197603907,255.56687525164023,HAM
15,208.42873822391417,199.08541641997547,HAM
16,213.66582341583398,215.894589395671,HUL
17,211.81299231515152,205.9166916704961,HAM
18,241.51621569447252,243.93460703703704,HUL
19,275.8590227428572,277.166733308642,HUL
20,293.64513230560846,290.3608527338272,HAM
21,256.0333068030476,247.1409965511111,HAM
22,216.674250547412,216.0408756291209,HAM
23,202.3721793748496,204.2368621553778,HUL
24,264.7440145062933,264.1707048298175,HAM
