Minisector,VER,HUL,Fastest
0,249.5973967111111,250.16516877366743,HUL
1,283.2802991740874,283.17166682666664,VER
2,176.7783522239744,164.33270789526512,VER
3,161.53010305741498,166.27378647009428,HUL
4,256.13247812871134,253.936418008658,VER
5,271.01239109838235,265.40978188535564,VER
6,235.38549577733986,226.7709622645722,VER
7,206.79143919667948,200.25952724648485,VER
8,162.2821970519744,161.34220816065425,VER
9,225.8750006153846,226.10736182748815,HUL
10,271.01016238504627,268.91176314920637,VER
11,133.378233700187,127.24012777799298,VER
12,212.03817564895945,215.74411219613242,HUL
13,276.14940479999996,276.4906928554112,HUL
14,297.02678580571427,295.51562512,VER
15,304.8703947789474,301.9255314118689,VER
16,249.0122705762916,218.985207765372,VER
17,130.40172527909615,130.87790561242255,HUL
18,129.7179543274001,132.85128291481158,HUL
19,119.89605557253405,120.33021099786201,HUL
20,226.9347746051282,222.62947571358023,VER
21,258.36967545872324,253.78500328502244,VER
22,241.2981466852052,224.0522429948718,VER
23,218.60818058271605,213.4510248450264,VER
24,139.6132145314647,138.0648044947557,VER
